"","RESPNUM","Q1","Q2","Rec_Age","Q3_01","Q3_02","Q3_03","Q3_04","Q3_05","Q3_06","Q3_07","Q3_08","Q3_09","Q3_10","Q3_11","Q3_12","Q3_13","Q4a_01","Q4a_02","Q4a_03","Q4a_04","Q4a_05","Q4a_06","Q4a_07","Q4a_08","Q4a_09","Q4a_10","Q4a_11","Q4a_12","Q4a_13","Q4a_14","Q4b_01","Q4b_02","Q4b_03","Q4b_04","Q4b_05","Q4b_06","Q4b_07","Q4b_08","Q4b_09","Q4b_10","Q4b_11","Q4b_12","Q4b_13","Q4b_14","Q4c_01","Q4c_02","Q4c_03","Q4c_04","Q4c_05","Q4c_06","Q4c_07","Q4c_08","Q4c_09","Q4c_10","Q4c_11","Q4c_12","Q4c_13","Q4c_14","Q4d_01","Q4d_02","Q4d_03","Q4d_04","Q4d_05","Q4d_06","Q4d_07","Q4d_08","Q4d_09","Q4d_10","Q4d_11","Q4d_12","Q4d_13","Q4d_14","Q4e_01","Q4e_02","Q4e_03","Q4e_04","Q4e_05","Q4e_06","Q4e_07","Q4e_08","Q4e_09","Q4e_10","Q4e_11","Q4e_12","Q4e_13","Q4e_14","Q4f_01","Q4f_02","Q4f_03","Q4f_04","Q4f_05","Q4f_06","Q4f_07","Q4f_08","Q4f_09","Q4f_10","Q4f_11","Q4f_12","Q4f_13","Q4f_14","Q4g_01","Q4g_02","Q4g_03","Q4g_04","Q4g_05","Q4g_06","Q4g_07","Q4g_08","Q4g_09","Q4g_10","Q4g_11","Q4g_12","Q4g_13","Q4g_14","Q4h_01","Q4h_02","Q4h_03","Q4h_04","Q4h_05","Q4h_06","Q4h_07","Q4h_08","Q4h_09","Q4h_10","Q4h_11","Q4h_12","Q4h_13","Q4h_14","Q4i_01","Q4i_02","Q4i_03","Q4i_04","Q4i_05","Q4i_06","Q4i_07","Q4i_08","Q4i_09","Q4i_10","Q4i_11","Q4i_12","Q4i_13","Q4i_14","Q5a_left","Q5a_right","Q5b_left","Q5b_right","Q5c_left","Q5c_right","Q5d_left","Q5d_right","Q5e_left","Q5e_right","Q5f_left","Q5f_right","Q6_01","Q6_02","Q6_03","Q6_04","Q6_05","Q6_06","Q6_07","Q6_08","Q6_09","Q6_10","Q7","StartDate","StartTime","endDate","EndTime","Timetaken"
"1",1,"Male","65 or more","50 over","5","9","5","9","5","7","5","8","5","9","9","Not at all likely 0","5","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","Microsoft","IBM","Dell","Nokia","Microsoft","Nokia","Google","IBM","Microsoft","Yahoo","Samsung","IBM","no","no","no","no","yes","no","no","no","yes","no","$15,001 to $30,000","05/04/2017","16:40:32","05/04/2017","16:46:31","5:58"
"2",2,"Female","25 to 29","18 to 34","7","7","5","7","4","5","5","5","4","6","6","5","5","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","Google","IBM","Apple","Yahoo","Samsung","Intel","Google","IBM","Google","Yahoo","Samsung","Yahoo","yes","no","no","yes","no","yes","yes","no","yes","no","$60,001 to $90,000","05/04/2017","16:37:53","05/04/2017","16:58:57","21:4"
"3",3,"Male","45 to 49","35 to 49","8","6","Not at all likely 0","8","Not at all likely 0","Not at all likely 0","8","Not at all likely 0","Not at all likely 0","Not at all likely 0","7","7","7","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","Apple","IBM","Apple","Dell","Sony","Nokia","Google","Dell","Google","Dell","Apple","IBM","yes","yes","yes","no","no","yes","yes","no","no","no","$90.001 to $120,000","05/04/2017","19:15:54","05/04/2017","19:21:45","5:50"
"4",4,"Female","65 or more","50 over","6","8","3","7","3","9","6","5","4","6","9","7","8","yes","yes","no","yes","no","yes","no","yes","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","yes","no","yes","no","yes","yes","yes","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","no","Google","IBM","Dell","Sony","Samsung","Sony","Google","Sony","Samsung","Yahoo","Samsung","IBM","no","no","no","yes","no","no","no","no","yes","no","$15,001 to $30,000","05/04/2017","19:08:53","05/04/2017","19:15:34","6:41"
"5",5,"Male","55 to 64","50 over","8","8","7","8","6","8","8","6","3","5","8","8","7","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","yes","yes","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","no","yes","no","yes","no","yes","yes","yes","yes","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","Apple","Nokia","Apple","Yahoo","Sony","Nokia","Sony","Intel","Samsung","Yahoo","Apple","Yahoo","no","no","yes","no","no","no","no","yes","yes","no","$150,001 to $200,000","05/04/2017","20:02:33","05/04/2017","20:11:00","8:26"
"6",6,"Female","18 to 24","18 to 34","8","5","3","9","3","3","6","3","3","3","5","5","5","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Google","IBM","Apple","Yahoo","Sony","Intel","Sony","IBM","Google","Yahoo","Apple","IBM","no","yes","yes","no","no","no","no","no","yes","no","$90.001 to $120,000","05/04/2017","20:10:16","05/04/2017","20:21:08","10:51"
"7",7,"Female","25 to 29","18 to 34","9","8","7","9","7","7","7","7","5","7","6","8","8","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","yes","no","no","no","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","no","yes","no","no","no","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Google","IBM","Apple","Yahoo","Microsoft","Intel","Google","Intel","Google","Yahoo","Apple","Yahoo","no","yes","no","no","yes","no","yes","no","no","no","$60,001 to $90,000","05/04/2017","21:02:34","05/04/2017","21:07:59","5:24"
"8",8,"Male","45 to 49","35 to 49","6","6","6","9","6","6","6","6","6","6","6","2","4","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","yes","no","Apple","Nokia","Apple","Nokia","Microsoft","Samsung","Google","Sony","Google","Samsung","Apple","Samsung","yes","yes","no","no","yes","no","no","yes","yes","no","$150,001 to $200,000","05/04/2017","22:17:00","05/04/2017","22:20:46","3:45"
"9",9,"Male","25 to 29","18 to 34","Extremely likely10","Extremely likely10","6","Extremely likely10","Extremely likely10","8","Extremely likely10","8","9","7","Extremely likely10","Extremely likely10","9","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","yes","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","no","no","yes","no","no","yes","yes","no","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no","Microsoft","IBM","Apple","Nokia","Samsung","Nokia","Dell","Sony","Samsung","Dell","Apple","Samsung","yes","yes","yes","no","no","yes","no","no","no","no","$120,001 to $150,000","05/04/2017","21:09:01","05/04/2017","21:13:03","4:1"
"10",10,"Female","35 to 39","35 to 49","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","Nokia","Apple","Sony","Dell","Sony","Samsung","IBM","Intel","Google","Yahoo","Yahoo","Apple","no","no","no","no","yes","no","no","yes","yes","no","$15,001 to $30,000","05/04/2017","22:21:17","05/04/2017","22:26:48","5:31"
"11",11,"Male","45 to 49","35 to 49","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","Apple","Nokia","Sony","Dell","Intel","Nokia","Google","Dell","Microsoft","Yahoo","Samsung","IBM","yes","no","yes","yes","no","no","no","yes","no","no","$45,001 to $60,000","05/04/2017","23:49:47","05/04/2017","23:56:20","6:33"
"12",12,"Female","65 or more","50 over","Not at all likely 0","Not at all likely 0","Not at all likely 0","Extremely likely10","Not at all likely 0","5","Not at all likely 0","Not at all likely 0","Not at all likely 0","5","5","5","5","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","Google","Apple","Nokia","Dell","Nokia","Intel","Google","Intel","Google","Dell","Yahoo","Apple","no","no","no","no","yes","yes","no","no","no","no","$15,001 to $30,000","05/04/2017","23:06:28","05/04/2017","23:13:53","7:24"
"13",13,"Female","45 to 49","35 to 49","9","5","7","9","5","4","7","7","6","6","Extremely likely10","6","5","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","Apple","Nokia","Apple","Nokia","Samsung","Nokia","IBM","Sony","Google","Yahoo","Samsung","Yahoo","yes","no","yes","yes","no","no","no","no","yes","no","$60,001 to $90,000","06/04/2017","00:07:56","06/04/2017","00:11:06","3:9"
"14",14,"Male","55 to 64","50 over","9","7","6","9","7","8","9","7","7","9","8","7","Extremely likely10","yes","yes","no","yes","no","yes","yes","no","no","no","yes","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","Microsoft","Sony","Dell","Sony","Intel","Google","Intel","Google","Dell","Apple","Intel","no","no","no","no","yes","no","no","yes","no","no","$30,001 to $45,000","06/04/2017","00:40:57","06/04/2017","00:45:53","4:56"
"15",15,"Male","18 to 24","18 to 34","5","8","7","9","8","8","7","8","7","8","8","7","8","no","no","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","no","yes","no","no","yes","yes","no","no","no","no","no","no","Google","Apple","Nokia","Apple","Samsung","Sony","Google","Dell","Google","Yahoo","Samsung","Apple","no","no","no","no","yes","no","no","yes","yes","no","$60,001 to $90,000","06/04/2017","00:05:56","06/04/2017","00:15:39","9:42"
"16",16,"Female","25 to 29","18 to 34","4","4","3","6","5","5","4","4","2","5","3","4","3","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Apple","Yahoo","Intel","Samsung","Google","IBM","Google","Yahoo","Intel","IBM","yes","yes","no","no","yes","no","no","no","yes","no","$45,001 to $60,000","06/04/2017","01:24:23","06/04/2017","01:30:42","6:18"
"17",17,"Female","40 to 44","35 to 49","8","8","7","Extremely likely10","9","9","8","8","8","9","7","9","8","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","yes","no","no","no","yes","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","Apple","Nokia","Yahoo","Nokia","Samsung","Google","Dell","Google","Yahoo","Intel","Samsung","yes","yes","yes","yes","yes","no","no","no","yes","no","$15,001 to $30,000","06/04/2017","00:41:39","06/04/2017","00:52:44","11:4"
"18",18,"Female","35 to 39","35 to 49","7","9","7","Extremely likely10","4","4","7","7","7","7","7","7","7","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","Nokia","Apple","Nokia","Microsoft","Nokia","Google","Intel","Google","Yahoo","Apple","Yahoo","yes","yes","yes","no","no","no","yes","no","no","no","$200,001 or more","06/04/2017","01:31:12","06/04/2017","01:37:09","5:57"
"19",19,"Male","65 or more","50 over","Not at all likely 0","Not at all likely 0","3","Extremely likely10","Not at all likely 0","7","5","5","Not at all likely 0","5","3","9","7","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Nokia","Microsoft","Nokia","Apple","Nokia","Microsoft","Intel","IBM","Google","Microsoft","Intel","Yahoo","yes","yes","no","no","yes","no","no","yes","yes","no","$15,001 to $30,000","06/04/2017","02:21:56","06/04/2017","02:26:19","4:23"
"20",20,"Male","55 to 64","50 over","4","4","1","6","4","1","6","6","1","1","4","6","7","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","Apple","Nokia","Apple","Yahoo","Microsoft","Intel","Google","Dell","Google","Dell","Apple","Yahoo","no","no","no","no","yes","no","no","no","yes","no","$90.001 to $120,000","06/04/2017","04:01:31","06/04/2017","04:09:15","7:44"
"21",21,"Female","25 to 29","18 to 34","3","3","4","1","3","5","5","2","4","5","4","3","4","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","Apple","IBM","Nokia","Sony","Microsoft","Intel","Google","IBM","Microsoft","Dell","IBM","Samsung","yes","no","yes","no","no","no","yes","no","no","no","$15,001 to $30,000","06/04/2017","05:44:59","06/04/2017","05:46:37","1:37"
"22",22,"Male","65 or more","50 over","8","7","3","7","Not at all likely 0","Not at all likely 0","7","4","4","3","4","4","7","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Microsoft","Samsung","Google","Intel","Google","Yahoo","Apple","Samsung","yes","no","yes","no","no","no","yes","no","no","no","$90.001 to $120,000","06/04/2017","06:00:42","06/04/2017","06:07:50","7:8"
"23",23,"Female","45 to 49","35 to 49","8","8","7","8","8","Extremely likely10","Extremely likely10","5","5","Extremely likely10","5","9","7","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","yes","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","Nokia","IBM","Nokia","Yahoo","Sony","Samsung","Google","IBM","Google","Samsung","Apple","Samsung","no","no","no","no","yes","no","no","no","no","no","$45,001 to $60,000","06/04/2017","06:05:38","06/04/2017","06:11:15","5:36"
"24",24,"Male","55 to 64","50 over","8","1","Not at all likely 0","5","Not at all likely 0","Not at all likely 0","5","Not at all likely 0","3","Not at all likely 0","5","5","5","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","Apple","Microsoft","Apple","Dell","Samsung","Microsoft","Sony","Dell","Samsung","Dell","Apple","IBM","no","no","no","yes","no","yes","no","no","no","no","$15,001 to $30,000","06/04/2017","06:25:08","06/04/2017","06:31:11","6:2"
"25",25,"Female","50 to 54","50 over","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","Google","Apple","Sony","Apple","Sony","Samsung","Sony","Intel","Google","Samsung","IBM","Apple","yes","yes","yes","yes","no","no","no","yes","no","no","$200,001 or more","06/04/2017","06:36:00","06/04/2017","06:38:05","2:5"
"26",26,"Female","65 or more","50 over","6","6","6","9","6","6","6","8","8","6","6","6","6","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Apple","Nokia","Microsoft","Nokia","Google","IBM","Google","Samsung","Yahoo","IBM","no","no","yes","no","no","no","no","no","yes","no","$15,001 to $30,000","06/04/2017","07:11:43","06/04/2017","07:16:24","4:40"
"27",27,"Male","55 to 64","50 over","3","7","4","7","4","6","5","4","6","4","4","5","5","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Microsoft","Apple","Sony","Apple","Microsoft","Intel","Google","Dell","Microsoft","Dell","Yahoo","Samsung","no","no","no","no","yes","no","no","no","no","no","Less than $15,000","06/04/2017","07:20:16","06/04/2017","07:23:02","2:46"
"28",28,"Female","30 to 34","18 to 34","7","5","2","3","5","4","4","1","1","5","1","Not at all likely 0","5","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","Apple","IBM","Apple","Dell","Nokia","Samsung","Sony","Dell","Microsoft","Dell","Apple","Samsung","no","no","yes","no","no","no","no","yes","yes","no","$30,001 to $45,000","06/04/2017","07:23:30","06/04/2017","07:27:39","4:8"
