"","RESPNUM","Q1","Q2","Rec_Age","Q3_01","Q3_02","Q3_03","Q3_04","Q3_05","Q3_06","Q3_07","Q3_08","Q3_09","Q3_10","Q3_11","Q3_12","Q3_13","Q4a_01","Q4a_02","Q4a_03","Q4a_04","Q4a_05","Q4a_06","Q4a_07","Q4a_08","Q4a_09","Q4a_10","Q4a_11","Q4a_12","Q4a_13","Q4a_14","Q4b_01","Q4b_02","Q4b_03","Q4b_04","Q4b_05","Q4b_06","Q4b_07","Q4b_08","Q4b_09","Q4b_10","Q4b_11","Q4b_12","Q4b_13","Q4b_14","Q4c_01","Q4c_02","Q4c_03","Q4c_04","Q4c_05","Q4c_06","Q4c_07","Q4c_08","Q4c_09","Q4c_10","Q4c_11","Q4c_12","Q4c_13","Q4c_14","Q4d_01","Q4d_02","Q4d_03","Q4d_04","Q4d_05","Q4d_06","Q4d_07","Q4d_08","Q4d_09","Q4d_10","Q4d_11","Q4d_12","Q4d_13","Q4d_14","Q4e_01","Q4e_02","Q4e_03","Q4e_04","Q4e_05","Q4e_06","Q4e_07","Q4e_08","Q4e_09","Q4e_10","Q4e_11","Q4e_12","Q4e_13","Q4e_14","Q4f_01","Q4f_02","Q4f_03","Q4f_04","Q4f_05","Q4f_06","Q4f_07","Q4f_08","Q4f_09","Q4f_10","Q4f_11","Q4f_12","Q4f_13","Q4f_14","Q4g_01","Q4g_02","Q4g_03","Q4g_04","Q4g_05","Q4g_06","Q4g_07","Q4g_08","Q4g_09","Q4g_10","Q4g_11","Q4g_12","Q4g_13","Q4g_14","Q4h_01","Q4h_02","Q4h_03","Q4h_04","Q4h_05","Q4h_06","Q4h_07","Q4h_08","Q4h_09","Q4h_10","Q4h_11","Q4h_12","Q4h_13","Q4h_14","Q4i_01","Q4i_02","Q4i_03","Q4i_04","Q4i_05","Q4i_06","Q4i_07","Q4i_08","Q4i_09","Q4i_10","Q4i_11","Q4i_12","Q4i_13","Q4i_14","Q5a_left","Q5a_right","Q5b_left","Q5b_right","Q5c_left","Q5c_right","Q5d_left","Q5d_right","Q5e_left","Q5e_right","Q5f_left","Q5f_right","Q6_01","Q6_02","Q6_03","Q6_04","Q6_05","Q6_06","Q6_07","Q6_08","Q6_09","Q6_10","Q7","StartDate","StartTime","endDate","EndTime","Timetaken"
"153",154,"Female","40 to 44","35 to 49","Extremely likely10","Extremely likely10","6","Extremely likely10","5","Extremely likely10","Extremely likely10","9","6","7","Extremely likely10","Extremely likely10","6","yes","yes","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","IBM","Apple","Dell","Sony","Intel","Sony","Intel","Microsoft","Dell","Apple","Intel","yes","yes","no","no","yes","yes","no","no","no","no","$120,001 to $150,000","06/04/2017","12:54:19","06/04/2017","12:56:51","2:32"
"154",155,"Female","18 to 24","18 to 34","4","6","4","6","5","6","5","5","4","5","5","5","4","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Sony","Yahoo","Sony","Samsung","Google","IBM","Google","Yahoo","Apple","Yahoo","no","no","no","yes","no","no","no","no","yes","no","$30,001 to $45,000","06/04/2017","13:03:49","06/04/2017","13:10:16","6:26"
"155",156,"Female","55 to 64","50 over","8","7","5","7","5","5","5","5","4","6","7","6","6","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","IBM","Apple","Yahoo","Samsung","Intel","Google","Dell","Samsung","Yahoo","Apple","Yahoo","yes","no","yes","no","no","no","no","yes","yes","no","$120,001 to $150,000","06/04/2017","13:12:20","06/04/2017","13:15:37","3:17"
"156",157,"Male","30 to 34","18 to 34","8","5","5","8","9","4","7","5","4","7","7","2","8","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","yes","no","no","Nokia","Microsoft","Sony","Yahoo","Sony","Intel","Sony","Intel","Google","Yahoo","Apple","Intel","yes","yes","yes","yes","no","yes","yes","yes","yes","no","$60,001 to $90,000","06/04/2017","13:11:07","06/04/2017","13:15:20","4:13"
"157",158,"Female","45 to 49","35 to 49","Extremely likely10","Extremely likely10","5","Extremely likely10","5","5","Extremely likely10","5","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","5","yes","yes","no","yes","no","no","yes","no","yes","no","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","Apple","IBM","Apple","Dell","Samsung","Intel","Sony","Intel","Samsung","Dell","Samsung","Intel","yes","no","no","yes","no","no","no","yes","yes","no","$15,001 to $30,000","06/04/2017","13:01:46","06/04/2017","13:13:42","11:56"
"158",159,"Female","30 to 34","18 to 34","Extremely likely10","Extremely likely10","Extremely likely10","9","8","8","9","7","8","7","9","8","7","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no","no","Apple","Nokia","Apple","Dell","Samsung","Nokia","Google","Dell","Google","Dell","Apple","Intel","no","no","yes","yes","yes","no","yes","no","no","no","$60,001 to $90,000","06/04/2017","13:22:03","06/04/2017","13:27:27","5:23"
"159",160,"Male","18 to 24","18 to 34","9","9","9","9","9","9","9","9","6","7","9","8","7","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","yes","no","Google","Nokia","Apple","Nokia","Sony","Nokia","Sony","Dell","Samsung","Yahoo","Apple","Yahoo","no","no","no","no","yes","no","no","no","yes","no","$15,001 to $30,000","06/04/2017","13:32:19","06/04/2017","13:36:38","4:19"
"160",161,"Male","35 to 39","35 to 49","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","5","Extremely likely10","Extremely likely10","5","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","no","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","Apple","IBM","Apple","Dell","Samsung","Intel","Google","Intel","Samsung","Dell","Samsung","Intel","no","no","no","yes","no","no","no","yes","yes","no","$200,001 or more","06/04/2017","13:26:35","06/04/2017","13:32:40","6:5"
"161",162,"Female","65 or more","50 over","Not at all likely 0","8","6","Extremely likely10","5","5","8","6","5","8","9","7","8","yes","yes","no","yes","no","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","no","no","no","no","no","yes","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","Google","Apple","Nokia","Apple","Samsung","Intel","Google","IBM","Google","Yahoo","Samsung","Apple","no","yes","no","yes","no","no","no","yes","no","no","$15,001 to $30,000","06/04/2017","13:33:57","06/04/2017","13:43:15","9:18"
"162",163,"Female","18 to 24","18 to 34","Extremely likely10","Extremely likely10","Not at all likely 0","Extremely likely10","Not at all likely 0","3","Extremely likely10","3","Not at all likely 0","7","6","5","7","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","Apple","IBM","Apple","Yahoo","Microsoft","Intel","Google","IBM","Google","Yahoo","Apple","IBM","no","yes","yes","no","no","no","yes","no","no","no","$60,001 to $90,000","06/04/2017","13:00:12","06/04/2017","15:17:27","137:15"
