RESPNUM,Q1,Q2,Rec_Age,Q3_01,Q3_02,Q3_03,Q3_04,Q3_05,Q3_06,Q3_07,Q3_08,Q3_09,Q3_10,Q3_11,Q3_12,Q3_13,Q4a_01,Q4a_02,Q4a_03,Q4a_04,Q4a_05,Q4a_06,Q4a_07,Q4a_08,Q4a_09,Q4a_10,Q4a_11,Q4a_12,Q4a_13,Q4a_14,Q4b_01,Q4b_02,Q4b_03,Q4b_04,Q4b_05,Q4b_06,Q4b_07,Q4b_08,Q4b_09,Q4b_10,Q4b_11,Q4b_12,Q4b_13,Q4b_14,Q4c_01,Q4c_02,Q4c_03,Q4c_04,Q4c_05,Q4c_06,Q4c_07,Q4c_08,Q4c_09,Q4c_10,Q4c_11,Q4c_12,Q4c_13,Q4c_14,Q4d_01,Q4d_02,Q4d_03,Q4d_04,Q4d_05,Q4d_06,Q4d_07,Q4d_08,Q4d_09,Q4d_10,Q4d_11,Q4d_12,Q4d_13,Q4d_14,Q4e_01,Q4e_02,Q4e_03,Q4e_04,Q4e_05,Q4e_06,Q4e_07,Q4e_08,Q4e_09,Q4e_10,Q4e_11,Q4e_12,Q4e_13,Q4e_14,Q4f_01,Q4f_02,Q4f_03,Q4f_04,Q4f_05,Q4f_06,Q4f_07,Q4f_08,Q4f_09,Q4f_10,Q4f_11,Q4f_12,Q4f_13,Q4f_14,Q4g_01,Q4g_02,Q4g_03,Q4g_04,Q4g_05,Q4g_06,Q4g_07,Q4g_08,Q4g_09,Q4g_10,Q4g_11,Q4g_12,Q4g_13,Q4g_14,Q4h_01,Q4h_02,Q4h_03,Q4h_04,Q4h_05,Q4h_06,Q4h_07,Q4h_08,Q4h_09,Q4h_10,Q4h_11,Q4h_12,Q4h_13,Q4h_14,Q4i_01,Q4i_02,Q4i_03,Q4i_04,Q4i_05,Q4i_06,Q4i_07,Q4i_08,Q4i_09,Q4i_10,Q4i_11,Q4i_12,Q4i_13,Q4i_14,Q5a_left,Q5a_right,Q5b_left,Q5b_right,Q5c_left,Q5c_right,Q5d_left,Q5d_right,Q5e_left,Q5e_right,Q5f_left,Q5f_right,Q6_01,Q6_02,Q6_03,Q6_04,Q6_05,Q6_06,Q6_07,Q6_08,Q6_09,Q6_10,Q7,StartDate,StartTime,endDate,EndTime,Timetaken
203,2,3,1,9,8,3,5,5,7,1,2,3,3,8,4,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,3,1,2,1,4,2,1,2,5,1,2,0,0,1,0,0,0,0,0,1,0,2,6/4/2017,19:06:33,6/4/2017,19:11:46,5:13
204,2,4,1,11,9,6,11,3,3,11,3,5,3,8,10,10,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,3,1,3,4,2,2,5,2,4,1,3,0,0,1,1,0,0,1,0,1,0,5,6/4/2017,19:11:55,6/4/2017,19:17:59,6:03
205,1,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,4,3,4,2,1,3,2,1,0,0,0,0,1,0,0,0,1,0,4,6/4/2017,19:15:38,6/4/2017,19:18:18,2:39
206,2,2,1,9,8,6,10,5,5,8,6,8,11,9,8,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,5,3,5,4,5,2,2,1,3,5,4,3,0,1,1,1,0,0,0,0,1,0,8,6/4/2017,19:25:11,6/4/2017,19:30:10,4:58
207,2,4,1,10,11,6,11,7,10,9,6,6,6,3,8,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,2,5,1,3,1,2,2,3,2,5,1,5,1,1,1,1,0,0,1,1,1,0,2,6/4/2017,18:28:14,6/4/2017,19:49:15,81:00:00
208,1,4,1,1,11,5,11,6,5,6,6,1,6,6,5,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,5,2,5,2,5,4,1,0,0,0,0,1,0,0,0,1,0,2,6/4/2017,19:47:21,6/4/2017,19:50:24,3:03
209,1,5,2,10,10,7,11,10,6,10,9,10,8,9,7,6,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,5,1,5,1,5,4,3,2,5,1,5,0,0,1,1,0,0,0,0,1,0,3,6/4/2017,20:56:57,6/4/2017,21:02:47,5:50
210,2,5,2,10,11,11,10,11,11,10,10,11,10,10,10,11,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,4,1,2,3,4,5,3,3,5,1,4,1,1,1,0,0,0,1,0,1,0,3,6/4/2017,20:08:21,6/4/2017,20:31:16,22:54
211,2,5,2,11,7,5,9,4,6,7,1,6,6,7,9,8,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,3,2,2,5,3,4,1,5,1,1,1,0,0,0,1,0,1,0,5,6/4/2017,21:08:36,6/4/2017,21:15:11,6:35
212,2,2,1,8,7,3,8,6,3,6,6,5,6,6,3,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,1,3,1,2,2,1,2,4,1,2,0,1,1,0,0,0,0,0,1,0,6,6/4/2017,21:22:22,6/4/2017,21:28:29,6:06
