RESPNUM,Q1,Q2,Rec_Age,Q3_01,Q3_02,Q3_03,Q3_04,Q3_05,Q3_06,Q3_07,Q3_08,Q3_09,Q3_10,Q3_11,Q3_12,Q3_13,Q4a_01,Q4a_02,Q4a_03,Q4a_04,Q4a_05,Q4a_06,Q4a_07,Q4a_08,Q4a_09,Q4a_10,Q4a_11,Q4a_12,Q4a_13,Q4a_14,Q4b_01,Q4b_02,Q4b_03,Q4b_04,Q4b_05,Q4b_06,Q4b_07,Q4b_08,Q4b_09,Q4b_10,Q4b_11,Q4b_12,Q4b_13,Q4b_14,Q4c_01,Q4c_02,Q4c_03,Q4c_04,Q4c_05,Q4c_06,Q4c_07,Q4c_08,Q4c_09,Q4c_10,Q4c_11,Q4c_12,Q4c_13,Q4c_14,Q4d_01,Q4d_02,Q4d_03,Q4d_04,Q4d_05,Q4d_06,Q4d_07,Q4d_08,Q4d_09,Q4d_10,Q4d_11,Q4d_12,Q4d_13,Q4d_14,Q4e_01,Q4e_02,Q4e_03,Q4e_04,Q4e_05,Q4e_06,Q4e_07,Q4e_08,Q4e_09,Q4e_10,Q4e_11,Q4e_12,Q4e_13,Q4e_14,Q4f_01,Q4f_02,Q4f_03,Q4f_04,Q4f_05,Q4f_06,Q4f_07,Q4f_08,Q4f_09,Q4f_10,Q4f_11,Q4f_12,Q4f_13,Q4f_14,Q4g_01,Q4g_02,Q4g_03,Q4g_04,Q4g_05,Q4g_06,Q4g_07,Q4g_08,Q4g_09,Q4g_10,Q4g_11,Q4g_12,Q4g_13,Q4g_14,Q4h_01,Q4h_02,Q4h_03,Q4h_04,Q4h_05,Q4h_06,Q4h_07,Q4h_08,Q4h_09,Q4h_10,Q4h_11,Q4h_12,Q4h_13,Q4h_14,Q4i_01,Q4i_02,Q4i_03,Q4i_04,Q4i_05,Q4i_06,Q4i_07,Q4i_08,Q4i_09,Q4i_10,Q4i_11,Q4i_12,Q4i_13,Q4i_14,Q5a_left,Q5a_right,Q5b_left,Q5b_right,Q5c_left,Q5c_right,Q5d_left,Q5d_right,Q5e_left,Q5e_right,Q5f_left,Q5f_right,Q6_01,Q6_02,Q6_03,Q6_04,Q6_05,Q6_06,Q6_07,Q6_08,Q6_09,Q6_10,Q7,StartDate,StartTime,endDate,EndTime,Timetaken
213,2,6,2,7,8,3,8,8,8,5,3,5,8,8,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,3,3,1,2,5,3,4,4,2,1,0,1,1,0,0,1,0,1,0,7,6/4/2017,21:24:44,6/4/2017,21:31:02,6:18
214,1,4,1,10,10,9,10,10,9,9,9,10,9,10,10,10,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,3,1,4,3,5,3,1,3,5,4,2,1,1,1,1,0,0,1,1,0,0,5,6/4/2017,21:37:07,6/4/2017,21:40:41,3:34
215,2,5,2,1,8,4,11,1,3,6,4,2,6,9,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,1,3,1,3,2,2,3,2,5,4,1,0,0,0,1,1,0,0,0,1,0,6,6/4/2017,21:54:15,6/4/2017,22:00:25,6:09
216,1,6,2,7,8,7,9,7,6,9,8,9,9,9,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,3,1,3,1,2,1,2,1,4,2,0,0,1,1,0,0,0,0,1,0,2,6/4/2017,22:07:51,6/4/2017,22:10:20,2:28
217,2,2,1,10,8,8,9,8,2,5,9,4,4,10,4,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,4,3,4,5,4,3,5,4,5,0,0,0,1,0,0,1,0,1,0,2,6/4/2017,22:01:22,6/4/2017,22:08:20,6:57
218,1,3,1,6,5,5,6,3,6,6,5,7,5,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,1,4,2,1,5,1,5,1,1,0,0,0,0,0,0,0,0,0,5,6/4/2017,21:59:26,6/4/2017,22:13:20,13:53
219,1,5,2,11,3,3,9,7,5,9,4,7,5,9,7,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,1,3,1,2,4,1,2,1,0,1,0,0,1,1,0,0,0,6,6/4/2017,22:22:10,6/4/2017,22:30:58,8:47
220,2,6,2,5,6,1,1,1,1,5,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,4,1,3,4,3,1,5,1,5,0,0,1,1,0,1,0,0,1,0,7,6/4/2017,22:39:20,6/4/2017,22:43:17,3:56
221,2,7,2,1,10,1,11,1,1,11,1,1,1,11,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,4,3,5,4,1,3,4,4,2,0,0,0,1,0,0,0,1,0,0,3,6/4/2017,23:07:08,6/4/2017,23:11:33,4:24
222,2,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,3,1,3,4,3,1,3,1,4,1,0,1,0,0,1,1,0,0,0,6,6/4/2017,23:15:49,6/4/2017,23:17:45,1:55
223,1,2,1,11,9,3,11,10,4,7,8,8,3,10,3,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,4,2,5,2,5,2,4,1,2,0,1,1,0,0,0,0,0,0,0,2,7/4/2017,0:20:36,7/4/2017,0:24:21,3:44
224,2,2,1,7,10,8,10,10,10,7,7,8,7,8,8,10,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,5,2,3,3,5,2,5,3,4,1,0,0,0,1,0,0,0,1,0,1,7/4/2017,1:38:06,7/4/2017,1:46:17,8:11
225,2,4,1,5,9,7,9,6,7,8,7,7,7,8,8,7,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,3,2,2,3,2,5,4,1,0,0,0,1,0,0,0,1,1,0,3,7/4/2017,1:01:52,7/4/2017,1:13:10,11:17
226,1,7,2,5,7,5,10,1,1,9,1,5,8,6,4,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,4,3,2,4,4,2,4,3,2,5,4,5,0,1,0,0,1,0,0,0,1,0,9,7/4/2017,1:05:12,7/4/2017,1:24:53,19:41
227,1,4,1,11,10,7,8,8,3,9,6,10,7,10,6,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,3,4,2,4,1,3,5,1,5,1,1,1,0,0,1,0,0,0,0,5,7/4/2017,2:22:45,7/4/2017,2:27:39,4:53
228,1,7,2,11,11,11,11,10,11,11,11,11,11,10,10,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,5,2,5,3,4,4,5,3,5,1,1,1,0,0,0,1,0,0,0,7,7/4/2017,4:23:36,7/4/2017,4:26:29,2:52
229,2,5,2,10,10,6,11,10,8,10,8,8,7,10,6,9,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,3,1,3,3,5,2,1,3,5,4,2,0,1,0,1,1,0,0,0,1,0,4,7/4/2017,3:33:43,7/4/2017,3:42:47,9:03
230,2,3,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,3,2,2,5,3,4,1,3,0,1,1,0,0,0,1,0,0,0,1,7/4/2017,5:29:32,7/4/2017,5:38:24,8:51
231,1,5,2,11,4,4,11,4,11,4,1,9,3,11,11,6,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,1,3,3,5,2,5,3,4,1,2,1,0,1,0,0,0,1,0,0,0,8,7/4/2017,6:53:03,7/4/2017,6:58:04,5:01
232,1,7,2,7,9,1,9,9,9,6,9,6,7,9,8,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,5,1,4,1,5,3,1,1,5,3,5,0,0,0,1,1,0,0,0,1,0,6,7/4/2017,7:11:52,7/4/2017,7:17:19,5:27
233,2,5,2,11,6,5,6,6,6,6,6,3,3,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,5,1,5,1,4,3,5,1,5,1,0,1,0,0,0,1,0,0,0,5,7/4/2017,8:03:10,7/4/2017,8:06:08,2:57
234,2,7,2,9,9,9,11,9,7,6,9,11,5,3,3,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5,1,5,1,3,2,4,2,3,1,4,1,0,1,0,0,0,0,0,1,0,9,7/4/2017,8:30:59,7/4/2017,8:39:04,8:05
235,2,5,2,1,7,6,10,6,6,9,6,5,6,11,10,6,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,5,2,1,3,5,2,5,3,5,4,1,0,0,0,1,1,0,0,1,1,0,9,7/4/2017,8:48:53,7/4/2017,8:53:10,4:16
236,2,6,2,4,7,7,8,7,8,7,7,7,8,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,4,1,4,5,2,1,2,1,0,0,0,0,1,0,0,0,1,0,6,7/4/2017,8:55:42,7/4/2017,8:58:58,3:15
237,2,7,2,11,6,6,6,6,6,11,6,6,6,11,11,6,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,4,3,5,4,5,3,5,4,5,0,1,1,0,1,0,0,1,1,0,4,7/4/2017,8:50:21,7/4/2017,8:59:54,9:33
238,2,6,2,10,9,4,9,4,6,7,6,9,10,10,7,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,3,5,3,5,2,2,3,1,5,1,2,0,0,1,0,0,0,0,0,1,0,5,7/4/2017,9:44:23,7/4/2017,9:53:28,9:04
239,2,7,2,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,5,3,4,1,4,1,2,5,1,5,0,0,1,0,0,0,0,0,1,0,1,7/4/2017,9:05:27,7/4/2017,9:09:54,4:27
240,2,10,3,10,10,8,10,10,10,10,10,10,10,10,7,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,4,3,5,3,1,3,5,4,2,0,0,0,1,0,0,0,1,1,0,6,7/4/2017,9:08:36,7/4/2017,9:15:30,6:54
241,2,8,3,8,8,1,8,1,1,8,1,1,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,2,1,3,1,4,1,3,0,0,1,0,1,0,0,1,0,0,3,7/4/2017,8:57:46,7/4/2017,9:12:27,14:40
242,1,2,1,7,11,8,11,11,6,8,8,6,11,8,8,7,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,4,3,5,3,1,5,2,5,1,4,4,5,1,1,1,0,0,0,0,1,1,0,4,7/4/2017,9:13:32,7/4/2017,9:18:32,5:00
243,2,10,3,7,7,4,11,4,11,9,4,11,5,10,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,5,2,3,2,3,2,4,4,3,0,0,0,1,0,0,0,1,0,0,5,7/4/2017,9:41:29,7/4/2017,9:46:34,5:04
244,2,8,3,11,11,10,11,5,10,11,10,5,8,10,10,10,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,5,1,4,1,5,2,1,1,5,1,5,0,1,1,1,0,0,1,1,0,0,6,7/4/2017,9:40:08,7/4/2017,9:44:44,4:35
245,2,5,2,11,10,2,10,2,2,2,8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,1,4,2,4,1,5,1,4,0,0,1,0,0,1,0,0,0,0,9,7/4/2017,9:47:58,7/4/2017,9:52:00,4:01
246,2,7,2,5,6,5,6,5,6,5,5,5,5,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,3,5,2,4,3,5,4,1,0,0,0,1,0,0,0,0,1,0,3,7/4/2017,9:55:27,7/4/2017,10:18:17,22:49
247,2,10,3,6,9,6,9,9,11,11,9,8,11,3,11,11,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,5,1,2,4,5,3,5,1,4,3,3,4,0,0,0,0,1,0,0,1,0,0,4,7/4/2017,9:48:54,7/4/2017,9:56:30,7:35
